Generation, Average Score
1, -491.799900
2, -399.391049
3, -308.591310
4, -235.268813
5, -172.720988
6, -126.792610
7, -87.160526
8, -68.879705
9, -51.194797
10, -37.602998
11, -29.586580
12, -28.031866
13, -26.420219
14, -24.604652
15, -23.639847
16, -21.200048
17, -21.122500
18, -18.877475
19, -18.098725
20, -17.161587
21, -16.656566
22, -17.239916
23, -15.670499
24, -14.762405
25, -13.642324
26, -13.577873
27, -12.015229
28, -10.208952
29, -10.760840
30, -11.072308
31, -9.234073
32, -7.481041
33, -6.298010
34, -4.049880
35, -2.692599
36, -2.835526
37, -3.484655
38, -2.190447
39, -2.128904
40, -2.618739
41, -1.977337
42, -2.447723
43, -2.060227
44, -2.298952
45, -2.863340
46, -2.372583
47, -2.229676
48, -2.081797
49, -2.425868
50, -3.113609
51, -2.418236
52, -2.507982
53, -2.211130
54, -2.363011
55, -2.220580
56, -2.211056
57, -2.324811
58, -2.514248
59, -2.189592
60, -2.619096
61, -2.042191
62, -1.963272
63, -1.952683
64, -2.372227
65, -3.414072
66, -2.198391
67, -2.187834
68, -0.888978
69, -0.342540
70, -0.144625
71, -0.660546
72, -0.400455
73, 0.296595
74, 0.211066
75, -0.479939
76, 0.501101
77, 0.685961
78, 0.761410
79, 0.827364
80, 0.847224
81, 1.113722
82, -0.848863
83, 1.047611
84, 1.259476
85, 1.402595
86, 1.189026
87, 1.392390
88, 1.357474
89, 0.926625
90, 1.486516
91, 1.437415
92, 1.450874
93, 1.178859
94, 1.041639
95, 1.315316
96, 1.650403
97, 0.243004
98, 1.555180
99, -0.430148
100, 1.424449
101, 1.611844
102, 1.700818
103, 1.437158
104, 1.392572
105, 1.483426
106, 1.752834
107, 1.690678
108, 1.532657
109, 1.827677
110, 2.036627
111, 1.675716
112, 2.355357
113, 2.878654
114, 1.893987
115, 3.182890
116, 3.335679
117, 2.976007
118, 3.684160
119, 3.930442
120, 2.649754
121, 3.614048
122, 4.300440
123, 4.494604
124, 3.030646
125, 4.013556
126, 4.501586
127, 4.600016
128, 3.669650
129, 4.591497
130, 0.389315
131, 4.742193
132, 4.484172
133, 4.045092
134, 4.675551
135, 3.242106
136, 4.183121
137, 5.118981
138, 5.313140
139, 5.298381
140, 5.340484
141, 5.426905
142, 4.735269
143, 5.389903
144, 5.870249
145, 4.278802
146, 5.814138
147, 5.669591
148, 2.814546
149, 5.530295
150, 6.027953
151, 5.847080
152, 5.514271
153, 5.959443
154, 6.107094
155, 5.089221
156, 6.079142
157, 5.981991
158, 5.530020
159, 6.143850
160, 3.950239
161, 5.756902
162, 3.809619
163, 7.314846
164, 7.484698
165, 5.841197
166, 8.082312
167, 7.774423
168, 8.433094
169, 8.227231
170, 8.229572
171, 8.596746
172, 8.755217
173, 8.871702
174, 8.932867
175, 8.245979
176, 7.299960
177, 8.296550
178, 8.714315
179, 8.753143
180, 8.892281
181, 9.051273
182, 8.345813
183, 8.978408
184, 8.081684
185, 9.397367
186, 9.461274
187, 9.602263
188, 9.683823
189, 9.830338
190, 8.389603
191, 10.119346
192, 8.643943
193, 10.144889
194, 10.460749
195, 10.787407
196, 10.797224
197, 11.017022
198, 11.270870
199, 9.068009
200, 10.996130
201, 12.413961
202, 12.730040
203, 11.248850
204, 10.693339
205, 12.299483
206, 13.299945
207, 12.976099
208, 14.731211
209, 14.462612
210, 14.470426
211, 15.133304
212, 15.257333
213, 15.020923
214, 14.012159
215, 15.040672
216, 13.970757
217, 15.665108
218, 14.644851
219, 12.772099
